ref,stage,description
1,Intro,Introduction Video
2,Hidden Key,Hidden Key to be obtained via magnetic dog tag
3,Gun Box Lock, Solved by entering numeric code obtained via hints along the gun props
4,Manual Override,Solved by sliding notches to correct positions obtained via manual override sheet
5,System Override,Solved by twisting rotary switches to correct positions
6,Keypad Stage,Solved via entering numeric codes obtained from manual override sheet and map coordinates
7,Infrared Frame Clue,Obtain clue via usage of infrared camera pointed at picture frame
8,PC Login Password,Solved by inputting 'chubby' as password to the login screen
9,Test Tube Antidote,Solved by pushing down correct test tubes to corresponding slots
10,Bravo Lock,Solved by inputting BRAVO to the lock
11,Emergency Stage,Activated by pulling down lever
